ceiling_height,area,room_count,floor_count,floor ,distance_to_center,owner_enc,district_Есильский р-н,district_Нура р-н,district_Сарайшык р-н,district_Сарыарка р-н,district_р-н Байконур,house_type_монолитный дом,house_type_панельный дом,year_category,price_per_m2
3.0,84.0,3.0,24.0,5.0,3.5784860962081533,0,0,1,0,0,0,0,0,7,809523.8095238095
3.0,39.2,1.0,9.0,3.0,2.977237658786581,0,0,1,0,0,0,1,0,7,765306.1224489795
3.0,67.3,2.0,9.0,6.0,5.272258046015455,0,0,0,1,0,0,0,0,7,520059.43536404165
2.7,52.0,2.0,5.0,5.0,4.139062840930393,0,0,0,0,0,0,0,1,4,413461.53846153844
3.0,50.0,2.0,12.0,9.0,3.5276270888176495,0,0,1,0,0,0,0,0,7,818000.0
3.3,76.0,2.0,12.0,12.0,2.2964695256892,0,0,1,0,0,0,1,0,7,1052631.5789473683
2.7599999999999993,76.7,3.0,11.0,2.0,5.299143084673798,0,0,0,1,0,0,0,0,7,469361.147327249
3.0,66.0,2.0,10.0,3.0,4.13906480377974,0,0,1,0,0,0,0,0,7,756818.1818181818
3.0,74.0,3.0,16.0,14.0,3.6152883481338582,0,0,0,0,0,0,1,0,7,800000.0
3.0,44.5,2.0,18.0,16.0,3.072402089717146,0,1,0,0,0,0,1,0,7,815730.3370786516
2.7,74.0,3.0,9.0,9.0,5.132872017033125,0,0,1,0,0,0,0,0,7,608108.1081081082
2.7,37.0,2.0,10.0,8.0,6.068651070762724,0,0,0,0,0,0,0,0,6,513513.5135135135
2.7,66.0,2.0,8.0,3.0,3.935655406173321,0,1,0,0,0,0,0,0,6,598484.8484848485
2.7,82.0,3.0,9.0,8.0,8.72163976475867,0,0,0,0,0,0,1,0,7,352439.0243902439
2.8,124.4,3.0,10.0,6.0,3.2485440574772366,0,0,0,0,0,0,0,0,6,490353.69774919614
3.0,82.5,3.0,9.0,3.0,2.930463127891673,0,0,1,0,0,0,0,0,7,727272.7272727273
3.0,69.0,2.0,7.0,3.0,4.347506265236631,0,1,0,0,0,0,1,0,6,681159.4202898551
3.0,89.9,3.0,18.0,13.0,3.64637305117834,0,0,1,0,0,0,1,0,7,667408.2313681869
3.0,42.0,2.0,12.0,3.0,5.133197008225634,0,0,1,0,0,0,1,0,7,666666.6666666666
2.7,42.6,1.0,9.0,4.0,3.7969519889106857,0,1,0,0,0,0,1,0,6,645539.9061032863
2.8,38.6,1.0,18.0,9.0,6.0795110864016415,0,0,0,0,1,0,1,0,5,409326.4248704663
3.0,112.05,3.0,16.0,21.0,3.5115532740308706,0,0,1,0,0,0,1,0,7,1010000.0
2.7,42.0,1.0,4.0,4.0,10.18439348207614,0,0,0,0,1,0,1,0,7,440476.1904761905
3.0,140.56,4.0,13.0,12.0,3.1070649092430376,0,0,1,0,0,0,0,0,7,860000.0
3.0,85.24,3.0,8.0,7.0,5.8681786645477,0,1,0,0,0,0,1,0,7,500000.00000000006
3.0,67.19,3.0,9.0,9.0,3.923216143371564,0,0,1,0,0,0,0,0,7,654000.0
2.7,42.2,1.0,9.0,3.0,3.7969519889106857,0,1,0,0,0,0,1,0,6,651658.7677725118
3.3,126.3,3.0,10.0,5.0,6.760040131929233,0,1,0,0,0,0,1,0,7,1122000.0
2.65,67.89,3.0,13.0,17.0,5.654245072440196,0,0,1,0,0,0,1,0,7,544000.0
3.0,97.0,3.0,8.0,2.0,5.352677202901592,0,0,0,1,0,0,0,0,7,638144.3298969072
2.5,58.0,3.0,5.0,5.0,3.2699078299501685,0,0,0,0,0,0,1,0,1,482758.6206896552
3.0,123.0,4.0,9.0,5.0,2.8911421696704394,0,0,0,0,0,0,1,0,7,853658.5365853659
3.0,42.0,1.0,18.0,9.0,3.5836480551322802,0,0,1,0,0,0,1,0,7,756904.7619047619
3.0,140.0,4.0,7.0,5.0,3.455967215921409,0,1,0,0,0,0,1,0,7,920628.5714285715
